l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8:00 a.m.,,,,,,,,,9:30 a.m.,,,,,,,,,11:00 a.m.,,,,,,,,,12:30 p.m.,,,,,,,,,2:00 p.m.,,,,,,,,,3:30 p.m.,,,,,,,,,5:00 p.m.,,,,,,,,,6:30 p.m.,,,7:00 p.m.,,,,,,8:00 p.m.,,,,,,7:00 p.m.,,,,,,8:00 p.m.,,,,,,,,,8:00 p.m.
,CS-7,No Class (NO),,,,,,,,,No Class (NO),,,,,,,,,Design & Analysis of Algorithms (CS-A),,,,,,,,,Pakistan Studies (CS-D),,,,,,,,,Pakistan Studies (CS-C),,,,,,,,,Entrepreneurship (CS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-8,Technical & Business Writing (CS-D),,,,,,,,,Web Programming (CS-A),,,,,,,,,Web Programming (CS-B),,,,,,,,,Digital Logic Design (CS-E) ,,,,,,,,,Digital Logic Design (CS-F) ,,,,,,,,,,,,Pakistan Studies (CS-F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-9,Software Testing (CS-B),,,,,,,,,Artificial Intelligence (CS-B),,,,,,,,,Advance Database Concepts (CS),,,,,,,,,Artificial Intelligence (CS-A),,,,,,,,,Object Oriented Programming (CS-B),,,,,,,,,Artificial Intelligence (CS-E),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-10,Artificial Intelligence (CS-C),,,,,,,,,Artificial Intelligence (CS-D),,,,,,,,,Numerical Methods (CS-D),,,,,,,,,Information Retrieval (CS),,,,,,,,,Human Computer Interaction (CS-D),,,,,,,,,Artificial Intelligence (CS-F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-11,No Class (NO),,,,,,,,,No Class (NO),,,,,,,,,Object Oriented Programming (CS-A),,,,,,,,,Human Computer Interaction (CS-B),,,,,,,,,Human Computer Interaction (CS-A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-15,Pakistan Studies (CS-E),,,,,,,,,Software Engineering (CS-B),,,,,,,,,Software Engineering (CS-A),,,,,,,,,Digital Logic Design (CS-H) ,,,,,,,,,Digital Logic Design (CS-G) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-16,Digital Logic Design (CS-D) ,,,,,,,,,No Class (NO),,,,,,,,,Communication & Presentation Skills  (CS-C1),,,,,,,,,,,No Class (NO),,,,,,,Communication & Presentation Skills (CS-D1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Seminar Hall,"Research Methodology (MS-A, MS-B)",,,,,,,,,No Class (NO),,,,,,,,,Programming Fundamentals (CS-I),,,,,,,,,Human Computer Interaction (CS-E),,,,,,,,,Communication & Presentation Skills  (CS-D2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CE-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CE-3,Pakistan Studies (CS-H),,,,,,,,,Differential Equations (Cal II) (CS-E),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,English Lab-I,Comm & Presentation Skills Lab (CS-G1),,,,,,,,,Comm & Presentation Skills Lab (CS-D1),,,,,,,,,Comm & Presentation Skills Lab (CS-E1),,,,,,,,,Comm & Presentation Skills Lab (CS-A1),,,,,,,,,No Class (NO),,,,,,,,,,,,Comm & Presentation Skills Lab (CS-D2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,English Lab-II,Comm & Presentation Skills Lab (CS-G2),,,,,,,,,No Class (NO),,,,,,,,,Comm & Presentation Skills Lab (CS-E2),,,,,,,,,Comm & Presentation Skills Lab (CS-A2),,,,,,,,,No Class (NO),,,,,,,,,,,,Comm & Presentation Skills Lab (CS-F2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,English Lab-III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-8),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
